ZIP_CODE,Load Zone,Utility
13122,NGRID in All Zones,Niagara Mohawk Power Corporation
13123,NGRID in All Zones,Niagara Mohawk Power Corporation
13134,NGRID in All Zones,Niagara Mohawk Power Corporation
13331,NGRID in All Zones,Niagara Mohawk Power Corporation
13354,NGRID in All Zones,Niagara Mohawk Power Corporation
13402,NGRID in All Zones,Niagara Mohawk Power Corporation
13417,NGRID in All Zones,Niagara Mohawk Power Corporation
13435,NGRID in All Zones,Niagara Mohawk Power Corporation
13440,NGRID in All Zones,Niagara Mohawk Power Corporation
13456,NGRID in All Zones,Niagara Mohawk Power Corporation
13469,NGRID in All Zones,Niagara Mohawk Power Corporation
13473,NGRID in All Zones,Niagara Mohawk Power Corporation
13491,NGRID in All Zones,Niagara Mohawk Power Corporation
13605,NGRID in All Zones,Niagara Mohawk Power Corporation
13607,NGRID in All Zones,Niagara Mohawk Power Corporation
13611,NGRID in All Zones,Niagara Mohawk Power Corporation
13622,NGRID in All Zones,Niagara Mohawk Power Corporation
13631,NGRID in All Zones,Niagara Mohawk Power Corporation
13649,NGRID in All Zones,Niagara Mohawk Power Corporation
13672,NGRID in All Zones,Niagara Mohawk Power Corporation
13680,NGRID in All Zones,Niagara Mohawk Power Corporation
13691,NGRID in All Zones,Niagara Mohawk Power Corporation
13692,NGRID in All Zones,Niagara Mohawk Power Corporation
13693,NGRID in All Zones,Niagara Mohawk Power Corporation
12939,NGRID in All Zones,Niagara Mohawk Power Corporation
12949,NGRID in All Zones,Niagara Mohawk Power Corporation
14135,NGRID in All Zones,Niagara Mohawk Power Corporation
14144,NGRID in All Zones,Niagara Mohawk Power Corporation
14214,NGRID in All Zones,Niagara Mohawk Power Corporation
14218,NGRID in All Zones,Niagara Mohawk Power Corporation
14221,NGRID in All Zones,Niagara Mohawk Power Corporation
14231,NGRID in All Zones,Niagara Mohawk Power Corporation
14263,NGRID in All Zones,Niagara Mohawk Power Corporation
14305,NGRID in All Zones,Niagara Mohawk Power Corporation
14414,NGRID in All Zones,Niagara Mohawk Power Corporation
14428,NGRID in All Zones,Niagara Mohawk Power Corporation
14452,NGRID in All Zones,Niagara Mohawk Power Corporation
14470,NGRID in All Zones,Niagara Mohawk Power Corporation
14485,NGRID in All Zones,Niagara Mohawk Power Corporation
14525,NGRID in All Zones,Niagara Mohawk Power Corporation
14770,NGRID in All Zones,Niagara Mohawk Power Corporation
14772,NGRID in All Zones,Niagara Mohawk Power Corporation
14782,NGRID in All Zones,Niagara Mohawk Power Corporation
14533,NGRID in All Zones,Niagara Mohawk Power Corporation
14543,NGRID in All Zones,Niagara Mohawk Power Corporation
14545,NGRID in All Zones,Niagara Mohawk Power Corporation
14592,NGRID in All Zones,Niagara Mohawk Power Corporation
14710,NGRID in All Zones,Niagara Mohawk Power Corporation
14737,NGRID in All Zones,Niagara Mohawk Power Corporation
14008,NGRID in All Zones,Niagara Mohawk Power Corporation
14040,NGRID in All Zones,Niagara Mohawk Power Corporation
14066,NGRID in All Zones,Niagara Mohawk Power Corporation
14072,NGRID in All Zones,Niagara Mohawk Power Corporation
14081,NGRID in All Zones,Niagara Mohawk Power Corporation
14107,NGRID in All Zones,Niagara Mohawk Power Corporation
14108,NGRID in All Zones,Niagara Mohawk Power Corporation
12007,NGRID in All Zones,Niagara Mohawk Power Corporation
12027,NGRID in All Zones,Niagara Mohawk Power Corporation
12031,NGRID in All Zones,Niagara Mohawk Power Corporation
12043,NGRID in All Zones,Niagara Mohawk Power Corporation
12047,NGRID in All Zones,Niagara Mohawk Power Corporation
12057,NGRID in All Zones,Niagara Mohawk Power Corporation
12072,NGRID in All Zones,Niagara Mohawk Power Corporation
12075,NGRID in All Zones,Niagara Mohawk Power Corporation
12086,NGRID in All Zones,Niagara Mohawk Power Corporation
12092,NGRID in All Zones,Niagara Mohawk Power Corporation
12110,NGRID in All Zones,Niagara Mohawk Power Corporation
12116,NGRID in All Zones,Niagara Mohawk Power Corporation
12128,NGRID in All Zones,Niagara Mohawk Power Corporation
12130,NGRID in All Zones,Niagara Mohawk Power Corporation
12530,NGRID in All Zones,Niagara Mohawk Power Corporation
12143,NGRID in All Zones,Niagara Mohawk Power Corporation
12149,NGRID in All Zones,Niagara Mohawk Power Corporation
12157,NGRID in All Zones,Niagara Mohawk Power Corporation
12166,NGRID in All Zones,Niagara Mohawk Power Corporation
12173,NGRID in All Zones,Niagara Mohawk Power Corporation
12177,NGRID in All Zones,Niagara Mohawk Power Corporation
12190,NGRID in All Zones,Niagara Mohawk Power Corporation
12052,NGRID in All Zones,Niagara Mohawk Power Corporation
12053,NGRID in All Zones,Niagara Mohawk Power Corporation
12055,NGRID in All Zones,Niagara Mohawk Power Corporation
12064,NGRID in All Zones,Niagara Mohawk Power Corporation
12095,NGRID in All Zones,Niagara Mohawk Power Corporation
12121,NGRID in All Zones,Niagara Mohawk Power Corporation
12132,NGRID in All Zones,Niagara Mohawk Power Corporation
12565,NGRID in All Zones,Niagara Mohawk Power Corporation
12567,NGRID in All Zones,Niagara Mohawk Power Corporation
12141,NGRID in All Zones,Niagara Mohawk Power Corporation
12170,NGRID in All Zones,Niagara Mohawk Power Corporation
12180,NGRID in All Zones,Niagara Mohawk Power Corporation
12182,NGRID in All Zones,Niagara Mohawk Power Corporation
12185,NGRID in All Zones,Niagara Mohawk Power Corporation
13343,NGRID in Zone E,Niagara Mohawk Power Corporation
13345,NGRID in Zone E,Niagara Mohawk Power Corporation
13352,NGRID in Zone E,Niagara Mohawk Power Corporation
13368,NGRID in Zone E,Niagara Mohawk Power Corporation
13401,NGRID in Zone E,Niagara Mohawk Power Corporation
12023,NGRID in Zone F,Niagara Mohawk Power Corporation
12043,NGRID in Zone F,Niagara Mohawk Power Corporation
12047,NGRID in Zone F,Niagara Mohawk Power Corporation
12054,NGRID in Zone F,Niagara Mohawk Power Corporation
12061,NGRID in Zone F,Niagara Mohawk Power Corporation
12067,NGRID in Zone F,Niagara Mohawk Power Corporation
12069,NGRID in Zone F,Niagara Mohawk Power Corporation
12071,NGRID in Zone F,Niagara Mohawk Power Corporation
12077,NGRID in Zone F,Niagara Mohawk Power Corporation
12110,NGRID in Zone F,Niagara Mohawk Power Corporation
12124,NGRID in Zone F,Niagara Mohawk Power Corporation
12134,NGRID in Zone F,Niagara Mohawk Power Corporation
12139,NGRID in Zone F,Niagara Mohawk Power Corporation
12469,NGRID in Zone F,Niagara Mohawk Power Corporation
12502,NGRID in Zone F,Niagara Mohawk Power Corporation
12521,NGRID in Zone F,Niagara Mohawk Power Corporation
12571,NGRID in Zone F,Niagara Mohawk Power Corporation
12159,NGRID in Zone F,Niagara Mohawk Power Corporation
12236,NGRID in Zone F,Niagara Mohawk Power Corporation
12306,NGRID in Zone F,Niagara Mohawk Power Corporation
12809,NGRID in Zone F,Niagara Mohawk Power Corporation
12815,NGRID in Zone F,Niagara Mohawk Power Corporation
