,GEOID,NAME,variable,estimate,moe,geoid_int,sf_tag,area,coverage,dac_coverage,pre_screened_coverage
1612,10533,ZCTA5 10533,S1901_C01_012,144121.0,14740.0,10533,0,9326340.529695945,,,
1613,12861,ZCTA5 12861,S1901_C01_012,50625.0,32028.0,12861,0,86261956.2673305,,,
1614,11385,ZCTA5 11385,S1901_C01_012,72261.0,2180.0,11385,0,9456500.763504097,,,
1615,13081,ZCTA5 13081,S1901_C01_012,83043.0,9312.0,13081,0,74885003.76441249,1.0000000000000007,,
1616,10578,ZCTA5 10578,S1901_C01_012,110972.0,21151.0,10578,0,4538631.477928342,1.0000000000000004,,
1617,12071,ZCTA5 12071,S1901_C01_012,52625.0,15936.0,12071,0,23860285.96454035,,,
1618,14708,ZCTA5 14708,S1901_C01_012,61875.0,60380.0,14708,0,27256223.33164473,,,
1619,10962,ZCTA5 10962,S1901_C01_012,110833.0,22666.0,10962,1,16022903.100404348,,,
1620,13461,ZCTA5 13461,S1901_C01_012,63204.0,4814.0,13461,0,6021833.553760952,,,
1621,11719,ZCTA5 11719,S1901_C01_012,87813.0,38489.0,11719,0,16055547.305464018,,,
1622,14819,ZCTA5 14819,S1901_C01_012,36071.0,9118.0,14819,0,106767680.81737128,0.9999999999999996,2.2225464863604024e-23,
1623,10005,ZCTA5 10005,S1901_C01_012,173333.0,33390.0,10005,0,179632.3975706519,,,
1624,10512,ZCTA5 10512,S1901_C01_012,97363.0,7209.0,10512,0,155870466.0507998,0.9998798326542173,,
1625,14469,ZCTA5 14469,S1901_C01_012,61221.0,7367.0,14469,0,170695203.11951628,,,
1626,13104,ZCTA5 13104,S1901_C01_012,104321.0,12235.0,13104,0,122276576.8038144,,,
1627,12763,ZCTA5 12763,S1901_C01_012,,,12763,0,37430121.525018744,0.7700944703068963,0.7709429431179766,
1628,12836,ZCTA5 12836,S1901_C01_012,65781.0,11531.0,12836,0,114868173.66328593,,,
1629,14261,ZCTA5 14261,S1901_C01_012,,,14261,0,3116599.788581009,,,
1630,14867,ZCTA5 14867,S1901_C01_012,62238.0,7916.0,14867,0,173757898.8339146,0.9999999999999998,0.031940374390769674,
1631,10576,ZCTA5 10576,S1901_C01_012,205905.0,23683.0,10576,0,60335949.66969999,0.9960510225317726,,
1632,12529,ZCTA5 12529,S1901_C01_012,69018.0,15407.0,12529,0,173533989.06729794,0.99820469333297,,
1633,14814,ZCTA5 14814,S1901_C01_012,79375.0,27227.0,14814,0,23046160.542570204,1.0000000000000004,,
1634,11692,ZCTA5 11692,S1901_C01_012,44024.0,4646.0,11692,0,2774820.8841123655,,,
1635,12149,ZCTA5 12149,S1901_C01_012,56169.0,8684.0,12149,0,121780920.59149823,,,
1636,14770,ZCTA5 14770,S1901_C01_012,49355.0,6470.0,14770,0,77501025.05783103,,,
1637,14787,ZCTA5 14787,S1901_C01_012,45042.0,6658.0,14787,0,108799831.00480574,,,
1638,14824,ZCTA5 14824,S1901_C01_012,41726.0,6993.0,14824,0,58680624.84259306,1.0000000000000009,,
1639,14853,ZCTA5 14853,S1901_C01_012,,,14853,0,623209.7708137892,1.0000000000000002,,
1640,12084,ZCTA5 12084,S1901_C01_012,75930.0,16338.0,12084,0,9335724.077760704,,,
1641,11420,ZCTA5 11420,S1901_C01_012,67932.0,4255.0,11420,0,5333314.119792732,,,
1642,12095,ZCTA5 12095,S1901_C01_012,52541.0,4999.0,12095,0,157555089.54391217,,,
1643,12121,ZCTA5 12121,S1901_C01_012,74009.0,10582.0,12121,0,60975958.255077705,0.013240671036562495,,
1644,14588,ZCTA5 14588,S1901_C01_012,67750.0,65144.0,14588,0,644084.2021451489,1.0000000000000002,,
1645,13032,ZCTA5 13032,S1901_C01_012,59087.0,4402.0,13032,0,210987908.59851554,0.048334124007118125,,
1646,13041,ZCTA5 13041,S1901_C01_012,89516.0,7618.0,13041,0,48355798.026898175,,,
1647,12834,ZCTA5 12834,S1901_C01_012,75060.0,9829.0,12834,0,226525614.1537906,0.0017585457440696538,,
1648,12783,ZCTA5 12783,S1901_C01_012,69943.0,17361.0,12783,0,88858037.05659145,1.0000000000000002,0.3768005105135522,
1649,12855,ZCTA5 12855,S1901_C01_012,41500.0,10408.0,12855,0,479027656.790341,0.001627688464363747,,
