"","GEOID","NAME","variable","estimate","moe","geoid_int","sf_tag","area","intersection_area","coverage","pre_screened","dac","Utility"
"99","12577","ZCTA5 12577","S1901_C01_012",133864,24677,12577,TRUE,15575648.4505395,5931543.11519532,0.380821584027846,FALSE,TRUE,"CHGE"
"100","12581","ZCTA5 12581","S1901_C01_012",75139,18900,12581,FALSE,105619899.737388,105619899.737741,1.00000000000334,FALSE,FALSE,"CHGE"
"101","12470","ZCTA5 12470","S1901_C01_012",61420,16426,12470,FALSE,25528194.7802987,25277057.1336656,0.990162342116455,FALSE,FALSE,"CHGE"
"102","12087","ZCTA5 12087","S1901_C01_012",74167,24741,12087,FALSE,51504462.900515,51504335.2271848,0.999997521121025,FALSE,FALSE,"CHGE"
"103","12405","ZCTA5 12405","S1901_C01_012",54750,44780,12405,FALSE,18538158.155418,18481267.4630562,0.996931157244164,FALSE,FALSE,"CHGE"
"104","12409","ZCTA5 12409","S1901_C01_012",90643,23628,12409,FALSE,37484748.4731853,37484748.4731114,0.999999999998029,FALSE,FALSE,"CHGE"
"105","12413","ZCTA5 12413","S1901_C01_012",45159,15739,12413,FALSE,42483068.6636931,42483068.6637004,1.00000000000017,FALSE,FALSE,"CHGE"
"106","12548","ZCTA5 12548","S1901_C01_012",56369,19425,12548,FALSE,15760813.3574316,15760813.3574787,1.00000000000299,FALSE,TRUE,"CHGE"
"107","12572","ZCTA5 12572","S1901_C01_012",72243,5881,12572,FALSE,133293440.694805,133293440.694953,1.00000000000111,FALSE,TRUE,"CHGE"
"108","12477","ZCTA5 12477","S1901_C01_012",60279,3466,12477,FALSE,171591565.048294,171591565.04834,1.00000000000027,FALSE,TRUE,"CHGE"
"109","12404","ZCTA5 12404","S1901_C01_012",62422,33340,12404,FALSE,92850246.7833529,92850246.783438,1.00000000000092,FALSE,FALSE,"CHGE"
"110","12193","ZCTA5 12193","S1901_C01_012",78295,29241,12193,FALSE,101394196.986801,98031269.1492751,0.966833133083898,FALSE,FALSE,"CHGE"
"111","12417","ZCTA5 12417","S1901_C01_012",82031,54317,12417,FALSE,893465.612812835,893465.612809399,0.999999999996154,FALSE,TRUE,"CHGE"
"112","12427","ZCTA5 12427","S1901_C01_012",NA,NA,12427,FALSE,106139044.794122,106139044.79177,0.999999999977845,FALSE,FALSE,"CHGE"
"113","12120","ZCTA5 12120","S1901_C01_012",57917,28195,12120,FALSE,45455710.8526845,45455710.852665,0.999999999999571,FALSE,FALSE,"CHGE"
"114","12124","ZCTA5 12124","S1901_C01_012",62885,48864,12124,FALSE,6838408.89378041,6835121.47819193,0.999519271859941,FALSE,FALSE,"CHGE"
"115","12550","ZCTA5 12550","S1901_C01_012",59143,2796,12550,FALSE,92929054.7319595,92929054.7319182,0.999999999999556,FALSE,TRUE,"CHGE"
"116","12553","ZCTA5 12553","S1901_C01_012",78398,6820,12553,FALSE,66213939.1440407,66200424.7436676,0.999795897955207,FALSE,TRUE,"CHGE"
"117","12567","ZCTA5 12567","S1901_C01_012",62750,15078,12567,FALSE,120152672.114131,120152672.1141,0.999999999999738,FALSE,FALSE,"CHGE"
"118","12589","ZCTA5 12589","S1901_C01_012",79982,11232,12589,FALSE,151454453.979328,143957472.097936,0.950500089733808,FALSE,TRUE,"CHGE"
"119","12575","ZCTA5 12575","S1901_C01_012",134179,42317,12575,FALSE,26145942.8908724,26145942.8910792,1.00000000000791,FALSE,TRUE,"CHGE"
"120","12601","ZCTA5 12601","S1901_C01_012",45903,3948,12601,FALSE,49390006.0877244,49390006.0890079,1.00000000002599,FALSE,TRUE,"CHGE"
"121","12569","ZCTA5 12569","S1901_C01_012",80322,7134,12569,FALSE,86864132.0487762,86864132.048822,1.00000000000053,FALSE,TRUE,"CHGE"
"122","12725","ZCTA5 12725","S1901_C01_012",83750,27679,12725,FALSE,175590696.899934,172648219.922991,0.983242409598615,FALSE,FALSE,"CHGE"
"123","12523","ZCTA5 12523","S1901_C01_012",69271,15084,12523,FALSE,57042354.0464367,3052143.19926507,0.0535066136432659,FALSE,FALSE,"CHGE"
"124","12442","ZCTA5 12442","S1901_C01_012",25598,7704,12442,FALSE,85897166.2637671,76737956.8513326,0.893370063171712,FALSE,FALSE,"CHGE"
"125","12495","ZCTA5 12495","S1901_C01_012",168214,151789,12495,FALSE,23686681.4559448,23686681.4559443,0.999999999999977,FALSE,FALSE,"CHGE"
"126","12578","ZCTA5 12578","S1901_C01_012",116705,26827,12578,FALSE,40916662.0201367,40916662.0201527,1.00000000000039,FALSE,FALSE,"CHGE"
"127","12051","ZCTA5 12051","S1901_C01_012",67906,8827,12051,FALSE,56209817.9217638,56209817.9218284,1.00000000000115,FALSE,TRUE,"CHGE"
"128","12586","ZCTA5 12586","S1901_C01_012",74849,10557,12586,TRUE,62343859.8134898,29918592.343324,0.479896375245766,FALSE,TRUE,"CHGE"
"129","12450","ZCTA5 12450","S1901_C01_012",NA,NA,12450,FALSE,25615162.2030563,25615155.8583393,0.999999752306198,FALSE,FALSE,"CHGE"
"130","12192","ZCTA5 12192","S1901_C01_012",85212,24679,12192,FALSE,44509360.230746,44509360.2307073,0.999999999999131,FALSE,TRUE,"CHGE"
"131","12419","ZCTA5 12419","S1901_C01_012",59231,22378,12419,FALSE,6297418.23150581,6297418.2290963,0.999999999617381,FALSE,TRUE,"CHGE"
"132","12489","ZCTA5 12489","S1901_C01_012",NA,NA,12489,FALSE,16223802.2437837,16223802.2435715,0.999999999986923,FALSE,TRUE,"CHGE"
"133","12520","ZCTA5 12520","S1901_C01_012",105435,15560,12520,TRUE,10225413.3506734,10213236.4990525,0.998809158006306,FALSE,FALSE,"CHGE"
"134","12525","ZCTA5 12525","S1901_C01_012",77147,7462,12525,FALSE,61716747.0775613,61716747.0775377,0.999999999999617,FALSE,TRUE,"CHGE"
"135","12543","ZCTA5 12543","S1901_C01_012",60769,11085,12543,FALSE,31326341.1146089,31326341.1146079,0.999999999999969,FALSE,TRUE,"CHGE"
"136","12412","ZCTA5 12412","S1901_C01_012",68470,10350,12412,FALSE,15709703.1288912,8476425.8651708,0.539566266505833,FALSE,FALSE,"CHGE"
"137","12561","ZCTA5 12561","S1901_C01_012",66148,9030,12561,FALSE,155932520.127989,155932520.127573,0.999999999997329,FALSE,TRUE,"CHGE"
"138","12582","ZCTA5 12582","S1901_C01_012",106842,12890,12582,FALSE,34121713.268243,29824018.3085872,0.87404808996928,FALSE,TRUE,"CHGE"
"139","12461","ZCTA5 12461","S1901_C01_012",66739,23639,12461,FALSE,61836109.0231757,61836109.023261,1.00000000000138,FALSE,FALSE,"CHGE"
"140","12473","ZCTA5 12473","S1901_C01_012",46563,26314,12473,FALSE,38761487.533361,38659100.6892381,0.997358541928126,FALSE,FALSE,"CHGE"
"141","12590","ZCTA5 12590","S1901_C01_012",88982,4763,12590,FALSE,90551041.1247568,90551041.1250584,1.00000000000333,FALSE,TRUE,"CHGE"
"142","12423","ZCTA5 12423","S1901_C01_012",44241,8754,12423,FALSE,32897454.2635388,32897454.263542,1.00000000000009,FALSE,FALSE,"CHGE"
"143","12494","ZCTA5 12494","S1901_C01_012",91544,44666,12494,FALSE,48466466.0795741,48466421.0625595,0.99999907117192,FALSE,FALSE,"CHGE"
"144","12468","ZCTA5 12468","S1901_C01_012",50417,8062,12468,FALSE,113096126.271281,34778466.6700737,0.307512448186345,FALSE,FALSE,"CHGE"
"145","12788","ZCTA5 12788","S1901_C01_012",65060,8466,12788,FALSE,61438420.0237381,6068179.81936564,0.0987684874874885,FALSE,TRUE,"CHGE"
"146","12042","ZCTA5 12042","S1901_C01_012",46250,37298,12042,FALSE,11237688.5094547,11237688.509468,1.00000000000119,FALSE,FALSE,"CHGE"
"147","12493","ZCTA5 12493","S1901_C01_012",78359,59126,12493,FALSE,18034650.8505508,18034650.8505249,0.999999999998564,FALSE,TRUE,"CHGE"
