ZIP,Utility,zip_flag,pre_screen_flag,dac_flag
10964,ORU,TRUE,FALSE,FALSE
12901,ORU,FALSE,FALSE,FALSE
10310,ORU,FALSE,FALSE,FALSE
12130,ORU,FALSE,FALSE,FALSE
12150,ORU,FALSE,FALSE,FALSE
12161,ORU,FALSE,FALSE,FALSE
12987,ORU,FALSE,FALSE,FALSE
12401,ORU,FALSE,FALSE,FALSE
12512,ORU,FALSE,FALSE,FALSE
12752,ORU,FALSE,FALSE,FALSE
10548,ORU,FALSE,FALSE,FALSE
13642,ORU,FALSE,FALSE,FALSE
11221,ORU,FALSE,FALSE,FALSE
10517,ORU,FALSE,FALSE,FALSE
12946,ORU,FALSE,FALSE,FALSE
10455,ORU,FALSE,FALSE,FALSE
10546,ORU,FALSE,FALSE,FALSE
11718,ORU,FALSE,FALSE,FALSE
11358,ORU,FALSE,FALSE,FALSE
10473,ORU,FALSE,FALSE,FALSE
10537,ORU,FALSE,FALSE,FALSE
10552,ORU,FALSE,FALSE,FALSE
12122,ORU,FALSE,FALSE,FALSE
10028,ORU,FALSE,FALSE,FALSE
12029,ORU,FALSE,FALSE,FALSE
12040,ORU,FALSE,FALSE,FALSE
11217,ORU,FALSE,FALSE,FALSE
11230,ORU,FALSE,FALSE,FALSE
11363,ORU,FALSE,FALSE,FALSE
11369,ORU,FALSE,FALSE,FALSE
11413,ORU,FALSE,FALSE,FALSE
11418,ORU,FALSE,FALSE,FALSE
11427,ORU,FALSE,FALSE,FALSE
13843,ORU,FALSE,FALSE,FALSE
12174,ORU,FALSE,FALSE,FALSE
14774,ORU,FALSE,FALSE,FALSE
14808,ORU,FALSE,FALSE,FALSE
14810,ORU,FALSE,FALSE,FALSE
14827,ORU,FALSE,FALSE,FALSE
14112,ORU,FALSE,FALSE,FALSE
10596,ORU,FALSE,FALSE,FALSE
14841,ORU,FALSE,FALSE,FALSE
14856,ORU,FALSE,FALSE,FALSE
14860,ORU,FALSE,FALSE,FALSE
12008,ORU,FALSE,FALSE,FALSE
10940,ORU,TRUE,FALSE,TRUE
10965,ORU,TRUE,FALSE,FALSE
11003,ORU,FALSE,FALSE,FALSE
13679,ORU,FALSE,FALSE,FALSE
13695,ORU,FALSE,FALSE,FALSE
13774,ORU,FALSE,FALSE,FALSE
13778,ORU,FALSE,FALSE,FALSE
12069,ORU,FALSE,FALSE,FALSE
13204,ORU,FALSE,FALSE,FALSE
10039,ORU,FALSE,FALSE,FALSE
11225,ORU,FALSE,FALSE,FALSE
14627,ORU,FALSE,FALSE,FALSE
14707,ORU,FALSE,FALSE,FALSE
14719,ORU,FALSE,FALSE,FALSE
14722,ORU,FALSE,FALSE,FALSE
14732,ORU,FALSE,FALSE,FALSE
14742,ORU,FALSE,FALSE,FALSE
14756,ORU,FALSE,FALSE,FALSE
13902,ORU,FALSE,FALSE,FALSE
14026,ORU,FALSE,FALSE,FALSE
14039,ORU,FALSE,FALSE,FALSE
14529,ORU,FALSE,FALSE,FALSE
10502,ORU,FALSE,FALSE,FALSE
13812,ORU,FALSE,FALSE,FALSE
13815,ORU,FALSE,FALSE,FALSE
13820,ORU,FALSE,FALSE,FALSE
14041,ORU,FALSE,FALSE,FALSE
13469,ORU,FALSE,FALSE,FALSE
10985,ORU,TRUE,FALSE,FALSE
11364,ORU,FALSE,FALSE,FALSE
13157,ORU,FALSE,FALSE,FALSE
13362,ORU,FALSE,FALSE,FALSE
14850,ORU,FALSE,FALSE,FALSE
10278,ORU,FALSE,FALSE,FALSE
10154,ORU,FALSE,FALSE,FALSE
13646,ORU,FALSE,FALSE,FALSE
12546,ORU,FALSE,FALSE,FALSE
12432,ORU,FALSE,FALSE,FALSE
11572,ORU,FALSE,FALSE,FALSE
10311,ORU,FALSE,FALSE,FALSE
13319,ORU,FALSE,FALSE,FALSE
12420,ORU,FALSE,FALSE,FALSE
11779,ORU,FALSE,FALSE,FALSE
12515,ORU,FALSE,FALSE,FALSE
13212,ORU,FALSE,FALSE,FALSE
11547,ORU,FALSE,FALSE,FALSE
12933,ORU,FALSE,FALSE,FALSE
13024,ORU,FALSE,FALSE,FALSE
12835,ORU,FALSE,FALSE,FALSE
14206,ORU,FALSE,FALSE,FALSE
12750,ORU,FALSE,FALSE,FALSE
13321,ORU,FALSE,FALSE,FALSE
12504,ORU,FALSE,FALSE,FALSE
12306,ORU,FALSE,FALSE,FALSE
10307,ORU,FALSE,FALSE,FALSE
11765,ORU,FALSE,FALSE,FALSE
14218,ORU,FALSE,FALSE,FALSE
14580,ORU,FALSE,FALSE,FALSE
14710,ORU,FALSE,FALSE,FALSE
14858,ORU,FALSE,FALSE,FALSE
12873,ORU,FALSE,FALSE,FALSE
13166,ORU,FALSE,FALSE,FALSE
14514,ORU,FALSE,FALSE,FALSE
14740,ORU,FALSE,FALSE,FALSE
14714,ORU,FALSE,FALSE,FALSE
10970,ORU,TRUE,FALSE,TRUE
12604,ORU,FALSE,FALSE,FALSE
13214,ORU,FALSE,FALSE,FALSE
12204,ORU,FALSE,FALSE,FALSE
12435,ORU,FALSE,FALSE,FALSE
11747,ORU,FALSE,FALSE,FALSE
13332,ORU,FALSE,FALSE,FALSE
12950,ORU,FALSE,FALSE,FALSE
10589,ORU,FALSE,FALSE,FALSE
10583,ORU,FALSE,FALSE,FALSE
12508,ORU,FALSE,FALSE,FALSE
11713,ORU,FALSE,FALSE,FALSE
13790,ORU,FALSE,FALSE,FALSE
12108,ORU,FALSE,FALSE,FALSE
14839,ORU,FALSE,FALSE,FALSE
13736,ORU,FALSE,FALSE,FALSE
11102,ORU,FALSE,FALSE,FALSE
13147,ORU,FALSE,FALSE,FALSE
12015,ORU,FALSE,FALSE,FALSE
14416,ORU,FALSE,FALSE,FALSE
13407,ORU,FALSE,FALSE,FALSE
10452,ORU,FALSE,FALSE,FALSE
12132,ORU,FALSE,FALSE,FALSE
11218,ORU,FALSE,FALSE,FALSE
10025,ORU,FALSE,FALSE,FALSE
12063,ORU,FALSE,FALSE,FALSE
13441,ORU,FALSE,FALSE,FALSE
14744,ORU,FALSE,FALSE,FALSE
13832,ORU,FALSE,FALSE,FALSE
10980,ORU,TRUE,FALSE,TRUE
11351,ORU,FALSE,FALSE,FALSE
10984,ORU,TRUE,FALSE,FALSE
12184,ORU,FALSE,FALSE,FALSE
11109,ORU,FALSE,FALSE,FALSE
13145,ORU,FALSE,FALSE,FALSE
14615,ORU,FALSE,FALSE,FALSE
13797,ORU,FALSE,FALSE,FALSE
14130,ORU,FALSE,FALSE,FALSE
14614,ORU,FALSE,FALSE,FALSE
14750,ORU,FALSE,FALSE,FALSE
14506,ORU,FALSE,FALSE,FALSE
10308,ORU,FALSE,FALSE,FALSE
12929,ORU,FALSE,FALSE,FALSE
12527,ORU,FALSE,FALSE,FALSE
13438,ORU,FALSE,FALSE,FALSE
13415,ORU,FALSE,FALSE,FALSE
11424,ORU,FALSE,FALSE,FALSE
11206,ORU,FALSE,FALSE,FALSE
14479,ORU,FALSE,FALSE,FALSE
14061,ORU,FALSE,FALSE,FALSE
10545,ORU,FALSE,FALSE,FALSE
13751,ORU,FALSE,FALSE,FALSE
14167,ORU,FALSE,FALSE,FALSE
13603,ORU,FALSE,FALSE,FALSE
11772,ORU,FALSE,FALSE,FALSE
11976,ORU,FALSE,FALSE,FALSE
11933,ORU,FALSE,FALSE,FALSE
14775,ORU,FALSE,FALSE,FALSE
11743,ORU,FALSE,FALSE,FALSE
10504,ORU,FALSE,FALSE,FALSE
13901,ORU,FALSE,FALSE,FALSE
11793,ORU,FALSE,FALSE,FALSE
12485,ORU,FALSE,FALSE,FALSE
13323,ORU,FALSE,FALSE,FALSE
10560,ORU,FALSE,FALSE,FALSE
14303,ORU,FALSE,FALSE,FALSE
13135,ORU,FALSE,FALSE,FALSE
10805,ORU,FALSE,FALSE,FALSE
12808,ORU,FALSE,FALSE,FALSE
14172,ORU,FALSE,FALSE,FALSE
14767,ORU,FALSE,FALSE,FALSE
14801,ORU,FALSE,FALSE,FALSE
10924,ORU,TRUE,FALSE,TRUE
14618,ORU,FALSE,FALSE,FALSE
10953,ORU,FALSE,FALSE,FALSE
12980,ORU,FALSE,FALSE,FALSE
13304,ORU,FALSE,FALSE,FALSE
12839,ORU,FALSE,FALSE,FALSE
14757,ORU,FALSE,FALSE,FALSE
13635,ORU,FALSE,FALSE,FALSE
12903,ORU,FALSE,FALSE,FALSE
10710,ORU,FALSE,FALSE,FALSE
10973,ORU,TRUE,FALSE,TRUE
11216,ORU,FALSE,FALSE,FALSE
13641,ORU,FALSE,FALSE,FALSE
11788,ORU,FALSE,FALSE,FALSE
14141,ORU,FALSE,FALSE,FALSE
14220,ORU,FALSE,FALSE,FALSE
13160,ORU,FALSE,FALSE,FALSE
14305,ORU,FALSE,FALSE,FALSE
12518,ORU,FALSE,FALSE,FALSE
12182,ORU,FALSE,FALSE,FALSE
12436,ORU,FALSE,FALSE,FALSE
10012,ORU,FALSE,FALSE,FALSE
10577,ORU,FALSE,FALSE,FALSE
10034,ORU,FALSE,FALSE,FALSE
10035,ORU,FALSE,FALSE,FALSE
14609,ORU,FALSE,FALSE,FALSE
12308,ORU,FALSE,FALSE,FALSE
11727,ORU,FALSE,FALSE,FALSE
13733,ORU,FALSE,FALSE,FALSE
13120,ORU,FALSE,FALSE,FALSE
12571,ORU,FALSE,FALSE,FALSE
12058,ORU,FALSE,FALSE,FALSE
14487,ORU,FALSE,FALSE,FALSE
12066,ORU,FALSE,FALSE,FALSE
14031,ORU,FALSE,FALSE,FALSE
10457,ORU,FALSE,FALSE,FALSE
12542,ORU,FALSE,FALSE,FALSE
12424,ORU,FALSE,FALSE,FALSE
13860,ORU,FALSE,FALSE,FALSE
12491,ORU,FALSE,FALSE,FALSE
13408,ORU,FALSE,FALSE,FALSE
12138,ORU,FALSE,FALSE,FALSE
10986,ORU,TRUE,FALSE,FALSE
14092,ORU,FALSE,FALSE,FALSE
14207,ORU,FALSE,FALSE,FALSE
13864,ORU,FALSE,FALSE,FALSE
12779,ORU,FALSE,FALSE,FALSE
14626,ORU,FALSE,FALSE,FALSE
12501,ORU,FALSE,FALSE,FALSE
12944,ORU,FALSE,FALSE,FALSE
14879,ORU,FALSE,FALSE,FALSE
11354,ORU,FALSE,FALSE,FALSE
12939,ORU,FALSE,FALSE,FALSE
10306,ORU,FALSE,FALSE,FALSE
13795,ORU,FALSE,FALSE,FALSE
12847,ORU,FALSE,FALSE,FALSE
11746,ORU,FALSE,FALSE,FALSE
11030,ORU,FALSE,FALSE,FALSE
11368,ORU,FALSE,FALSE,FALSE
10952,ORU,TRUE,TRUE,FALSE
11542,ORU,FALSE,FALSE,FALSE
