GEOID,snap_hh,medicaid_pop,total_pop
35049010400,10,192,3291
35049010500,26,136,1828
35049010601,131,889,5882
35049010602,42,107,3114
35049010603,83,559,2320
35049010700,26,290,5189
35049010800,46,709,3040
35049010900,124,693,3204
35049940300,76,504,1980
35049940400,109,640,1700
35049940500,70,472,1656
35049940600,106,874,3286
35049940900,330,1218,3016
35049980000,0,0,901
35051962200,531,1659,3102
35051962300,367,1277,3201
35051962401,90,395,2046
35051962402,253,897,2682
35053940000,71,852,1268
35053978100,80,2111,4828
35053978200,32,235,1343
35053978301,217,1576,3123
35053978302,116,551,3063
35053978303,141,1322,3233
35055940000,146,810,2134
35055940100,487,3365,9287
35055952100,312,2062,5586
35055952300,178,970,2532
35055952600,596,3032,7747
35055952700,205,2370,5500
35057963201,233,1566,3938
35057963202,226,1211,3204
35057963600,512,2572,6454
35057963700,108,578,1923
35059950200,194,994,4133
35061940300,63,413,1021
35061970101,382,1968,3832
35061970102,242,1670,6467
35061970200,170,942,3876
35061970301,913,3091,6872
35061970302,172,1021,2875
35061970303,433,2498,6932
35061970401,391,1906,4805
35061970404,372,1571,4902
35061970405,86,931,3906
35061970700,240,1383,7167
35061970800,548,2219,5730
35061970901,445,2005,4956
35061970902,78,596,1916
35061971000,210,1627,4568
35061971100,90,368,1320
35061971300,114,461,1662
35061971400,107,647,3220
